16118,2019-08-03,Plain Papadum,2,0.8
16118,2019-08-03,King Prawn Balti,1,12.95
16118,2019-08-03,Garlic Naan,1,2.95
16118,2019-08-03,Mushroom Rice,1,3.95
16118,2019-08-03,Paneer Tikka Masala,1,8.95
16118,2019-08-03,Mango Chutney,1,0.5
16117,2019-08-03,Plain Naan,1,2.6
16117,2019-08-03,Mushroom Rice,1,3.95
16117,2019-08-03,Tandoori Chicken (1/4),1,4.95
16117,2019-08-03,Vindaloo - Lamb,1,7.95
16117,2019-08-03,Chapati,1,1.95
16117,2019-08-03,Lamb Tikka,1,4.95
16117,2019-08-03,Saag Paneer,1,5.95
16116,2019-08-03,Aloo Chaat,1,4.95
16116,2019-08-03,Chicken Pakora,1,5.95
16116,2019-08-03,Chicken Chilli Garlic,1,9.95
16116,2019-08-03,Lamb Biryani,1,9.95
16116,2019-08-03,Keema Naan,1,2.95
16115,2019-08-03,Chicken Pakora,1,5.95
16115,2019-08-03,Plain Papadum,1,0.8
16115,2019-08-03,Mango Chutney,1,0.5
16115,2019-08-03,Red Sauce,1,0.5
16115,2019-08-03,Korma - Prawn,1,9.95
16115,2019-08-03,Peshwari Naan,1,2.95
16115,2019-08-03,Pilau Rice,1,2.95
16114,2019-08-03,Chicken Balti,1,9.95
16114,2019-08-03,Special Fried Rice,2,3.95
16113,2019-08-03,Chicken Tikka Masala,1,8.95
16113,2019-08-03,Curry - Lamb,1,7.95
16113,2019-08-03,Pilau Rice,1,2.95
16113,2019-08-03,Peshwari Naan,1,2.95
16113,2019-08-03,Plain Papadum,1,0.8
16112,2019-08-03,Plain Papadum,2,0.8
16112,2019-08-03,Vegetable Rice,1,3.95
16112,2019-08-03,Saag - Prawn,1,9.95
16112,2019-08-03,Tandoori Chicken Masala,1,8.95
16111,2019-08-03,Pilau Rice,1,2.95
16111,2019-08-03,Lamb Tikka Chilli Masala,1,8.95
16111,2019-08-03,Peshwari Naan,1,2.95
16111,2019-08-03,Saag Aloo,1,5.95
16110,2019-08-03,Aloo Gobi,1,5.95
16110,2019-08-03,Bhindi Bhajee,1,5.95
16110,2019-08-03,Saag Paneer,1,5.95
16110,2019-08-03,Mint Sauce,2,0.5
16110,2019-08-03,Chicken Biryani,1,9.95
16110,2019-08-03,Garlic Naan,1,2.95
16110,2019-08-03,Plain Naan,1,2.6
16110,2019-08-03,Tandoori Chicken Masala,1,8.95
16109,2019-08-03,Plain Papadum,4,0.8
16109,2019-08-03,Red Sauce,2,0.5
16109,2019-08-03,Chicken Tikka Masala,1,8.95
16109,2019-08-03,Madras - Chicken Tikka,1,7.95
16109,2019-08-03,Mushroom Rice,2,3.95
16109,2019-08-03,Garlic Naan,1,2.95
16109,2019-08-03,Bombay Aloo,1,5.95
16108,2019-08-03,Onion Bhajee,1,3.95
16108,2019-08-03,Sheek Kebab,1,4.95
16108,2019-08-03,Plain Papadum,8,0.8
16108,2019-08-03,Mango Chutney,2,0.5
16108,2019-08-03,Mint Sauce,2,0.5
16108,2019-08-03,Onion Chutney,1,0.5
16108,2019-08-03,Chicken Tikka (Main),1,8.95
16108,2019-08-03,Korma - Chicken,1,8.95
16108,2019-08-03,Chicken Tikka Masala,1,8.95
16108,2019-08-03,Plain Rice,1,2.95
16108,2019-08-03,Pilau Rice,1,2.95
16108,2019-08-03,Keema Naan,2,2.95
16108,2019-08-03,French Fries,1,3.95
16108,2019-08-03,Chicken Biryani,1,9.95
16108,2019-08-03,Mushroom Rice,1,3.95
16107,2019-08-03,Onion Bhajee,1,3.95
16107,2019-08-03,Korma - Chicken,1,8.95
16107,2019-08-03,Peshwari Naan,1,2.95
16107,2019-08-03,Pilau Rice,1,2.95
16106,2019-08-03,Chicken Tikka (Main),1,8.95
16106,2019-08-03,Chicken Tikka Masala,1,8.95
16106,2019-08-03,Meat Samosa,1,3.95
16105,2019-08-03,Plain Papadum,2,0.8
16105,2019-08-03,Mango Chutney,1,0.5
16105,2019-08-03,Mint Sauce,1,0.5
16105,2019-08-03,Red Sauce,1,0.5
16105,2019-08-03,Keema Rice,1,3.95
16105,2019-08-03,Keema Naan,1,2.95
16105,2019-08-03,Chicken Chilli Garlic,1,9.95
16105,2019-08-03,Lamb Hari Mirch,1,9.95
16105,2019-08-03,Mushroom Bhajee,1,5.95
16104,2019-08-03,Curry - Chicken,1,7.95
16104,2019-08-03,Bombay Aloo,1,5.95
16104,2019-08-03,Plain Naan,1,2.6
16104,2019-08-03,Vegetable Rice,1,3.95
16103,2019-08-03,Chicken Tikka Biryani,1,10.95
16103,2019-08-03,Mixed Starter,1,5.95
16102,2019-08-03,Onion Bhajee,1,3.95
16102,2019-08-03,Chicken Tikka Biryani,1,10.95
16102,2019-08-03,Bhuna - Chicken Tikka,1,8.95
16102,2019-08-03,Mushroom Rice,1,3.95
16101,2019-08-03,Keema Rice,1,3.95
16101,2019-08-03,Madras - Lamb,1,7.95
16101,2019-08-03,Bombay Aloo,1,5.95
16100,2019-08-03,Masala Sauce,1,3.95
16100,2019-08-03,Mushroom Rice,1,3.95
16100,2019-08-03,Bottle Coke,1,2.95
16100,2019-08-03,Peshwari Naan,1,2.95
